date,bdi,capesize_index,panamax_index,supramax_index,coal_price_aus,iron_ore_price,bunker_fuel_price,china_steel_production,india_coal_import,port_congestion_vizag,port_congestion_paradip,vessel_orderbook,fleet_utilization,freight_rate_handysize,freight_rate_supramax,freight_rate_panamax,freight_rate_capesize
2022-01-01,1524.3863555463852,2265.963220832332,1599.6861101183504,1318.2965255202078,119.244360792463,110.21362399838982,542.529141978515,89.08412763326072,16.63659476404907,8.06544527630604,0.34547597073036496,69.72099830582292,0.850064454355619,25953.42994821435,31043.49034219331,35367.49499122571,59000.52972792321
2022-01-02,1576.3509213138357,2094.187075833344,1581.4516497786094,1261.121922361131,122.97873389916637,111.77110295131001,544.3179797070911,91.71559570513736,16.262837839045314,5.678099070384187,4.8678608215792885,65.1133085395518,0.8049270341332474,25103.09698965622,30105.959636584852,34948.32843763251,56839.644560965746
2022-01-03,1592.4760246186627,2039.976220525886,1570.1586244970472,1330.776754255823,116.0506201038551,112.79510973492974,540.7684701767089,92.05073412190546,13.396839958816274,9.199239420809079,1.3371723818271644,67.93225530029468,0.8167869741140834,26164.538599646054,31338.719242941817,34939.510714647426,56142.462148707724
2022-01-04,1549.1277772477533,2100.8639720587184,1648.2216558923483,1298.7977658415066,122.88648898081696,107.2714637802585,546.4322725210666,90.5443663537067,14.901397608995032,1.3792921775092903,4.097927297655658,66.50669737978252,0.8299373413219858,25652.044664493806,30826.98669728887,35918.636612441,56688.44418565131
2022-01-05,1629.4380802342318,2159.281836600205,1617.99582352787,1333.2099878158858,116.80012394951257,110.48667802370906,539.348508605171,92.36548422113293,14.818718776884364,9.743640204262835,0.04711218968401987,68.30589008004084,0.8118164780137505,25853.879869833112,31101.954349025586,35316.6894113988,57581.81680580762
2022-01-06,1546.812256183951,2196.5393380094747,1692.7403880615398,1199.8764816211308,119.75218406473621,108.64857727889382,533.800152324314,91.61177430956181,16.799574259723265,1.1644062098815966,1.399545869174271,65.63204696865024,0.8637375189036408,24729.95082035008,29511.033024535387,36330.894479024995,58554.58701634833
2022-01-07,1602.2846545997795,2216.9149727278773,1541.4021757005012,1187.7171768960175,120.78111857187444,106.138118761439,554.9898547859432,88.09253944795205,14.806336824575578,4.832099980794791,7.070486406751575,66.4235767555172,0.8745662774493592,24747.95423548683,29431.68817188624,35126.2659133108,58436.54786631214
2022-01-08,1564.5059788503575,2156.708585466463,1555.918605025466,1263.6545619158803,122.28780878258654,112.4069790695042,546.121926615848,93.75580095810702,15.133428496326536,1.2398555575950843,5.1160487735343505,64.3895648296108,0.8537426028376408,25549.922185777345,30487.12097994287,34928.249646258446,57841.24974421465
2022-01-09,1619.4116992106647,2022.6847794612813,1605.322562873715,1283.6142215337452,121.81100147194203,109.52812792077988,541.2414420051857,93.12251193608431,16.04500819534997,6.467851422522115,2.479338678145142,63.64065773296339,0.8800489009843032,25416.104574154644,30756.63940045617,35914.41604409994,55890.59983128085
2022-01-10,1617.532170441355,2021.1980013082787,1727.7975199069324,1338.3646541980897,120.84500166596253,106.95307879693338,540.3124584741497,88.12363335175857,13.939679751591953,5.5657666258506495,5.981518907751857,63.772174925016024,0.8844197211074312,26090.044879047076,31017.687175974534,36585.057836114385,55600.416595532675
2022-01-11,1568.5107061959125,2214.865805747533,1691.7308243952027,1259.376486876694,121.74190814858454,109.32812886147454,542.6731882797602,94.51159469080504,14.995489158748406,5.0830114912023365,0.6482462260033639,65.8255310744409,0.8764233952355179,25220.46264085712,31259.309326746534,36730.88475259171,58041.76553042167
2022-01-12,1645.2314897650824,1979.9748271696217,1724.144140390455,1354.6393086576456,121.2568023756095,109.4319771495516,557.1084035257674,85.68865107896724,14.78302191340458,1.8507341535040978,6.893036485981508,65.58097395612434,0.8759568745899144,26477.094261850536,31624.24230428308,36785.90390688568,56047.221557224904
2022-01-13,1531.2881671410548,2097.310269577604,1737.03890454606,1257.19151227847,118.85270846051718,102.63297674093087,522.2041958922069,91.24488188269007,15.886036230948331,5.317990675472607,6.232834792741107,66.5401847325176,0.8627345341001917,25252.64960202661,29844.66087700285,36208.83621704896,56408.14029168288
2022-01-14,1517.9815158669203,1875.2075898665462,1483.2037472658358,1219.0771904077608,114.15281844607237,114.52376263229647,531.6775800414287,92.56400984750289,16.767273938378473,5.909406555197215,3.9612175183948306,63.457366379743554,0.8344040961419849,24978.94062102643,29836.910357526882,33787.068421446376,53417.87443724076
